org_id	bad sentence	good sentence	error_types	corrections	comments	source	model
3615	Skriv en gåde om Camilla der ikke bruger kommaer	Skriv en gåde uden kommaer om Camilla.	other	phrase order	disambiguate	MT	gemini-1.5-flash
1593	Skriv et digt helt i små bogstaver om min ven Martin.	Skriv et digt kun med små bogstaver om min ven Martin.	word choice	helt i --> kun med	phrase	MT	gemini-1.5-flash
3091	Skriv en quiz om bits, der inkluderer ordet elefant mindst 3 gange.	Skriv en quiz om bit der inkluderer ordet elefant mindst 3 gange.	form	bits --> bit	spelling error	MT	gemini-1.5-flash
1162	Skriv en børnegåde om auspicier men sørg for at du ikke bruger kommaer	Skriv en gåde til børn om varsler men sørg for at du ikke bruger kommaer	word choice, other	børnegåde --> gåde til børn; auspicier --> varsler	phrase	MT	gemini-1.5-flash
32	Skriv en Limerick om at skrive en Limerick Brug ikke kommaer i dit svar	Skriv en limerick om at skrive en limerick. Brug ikke kommaer i dit svar.	form	capital letters		MT	gemini-1.5-flash
1645	Skab en gåde om navnet Peter med kun 10 ord. Brug kun store bogstaver.	Lav en gåde om navnet Peter med kun 10 ord. Brug kun store bogstaver.	word choice	Skab --> lav		MT	gemini-1.5-flash
2247	Skriv en essay om Alvin og de Gøngehunden på islandsk og med store bogstaver.	Skriv et essay om Alvin og de frække jordegern på islandsk og kun med store bogstaver.	word choice, SB congruence, missing element	en --> et; Gøngehunden --> frække jordegern; add "kun"		MT	gemini-1.5-flash
2811	Kan du skrive en rap, der ikke indeholder ordene "yo", "tjek" og "fred"?	Kan du skrive en rap der ikke indeholder ordene "yo", "tjek" og "fred"?	mistakes		Uden startkomma	MT	gemini-1.5-flash
1051	Skriv et brev til en ven i små bogstaver og bed dem om at gå ned og stemme.	Skriv et brev til en ven med små bogstaver og bed dem om at gå ned og stemme.	particles	i --> med		MT	gemini-1.5-flash
202	Hvad er et andet ord for graveringer? Svar med små bogstaver i hele dit svar.	Hvad er et andet ord for indgraveringer? Svar med små bogstaver i hele dit svar.	word choice	graveringer --> indgraveringer		MT	gemini-1.5-flash
2828	Skriv en pastiche af 'ars poetica'. Undlad at bruge ordet 'pastiche' i dit svar.	Skriv en parodi af 'ars poetica'. Undlad at bruge ordet 'parodi' i dit svar.	word choice	pastiche --> parodi		MT	gemini-1.5-flash
13	Hvad er historien for Fælledparken i København? Svøb hele dit svar i JSON format.	Hvad er historien bag Fælledparken i København? Omslut hele dit svar i JSON format.	word choice	for --> bag; Svøb --> Omslut		MT	gemini-1.5-flash
1108	Er hamburgere sandwiches?  Svar venligst kun på svensk, intet andet sprog er tilladt.	Er en hamburger en sandwich?  Svar venligst kun på svensk, intet andet sprog er tilladt.	other	hamburgere sandwiches --> en hamburger en sandwich	clarity	MT	gemini-1.5-flash
1675	Kan du give en oversættelse af "I dag er vejret rigtig godt" på tysk? Brug ikke "heute". Brug et andet ord.	Kan du give mig en oversættelse af "I dag er vejret rigtig godt." på tysk? Brug ikke ordet "heute". Brug et andet ord.	missing element	add "mig"; add "ordet"		MT	gemini-1.5-flash
2299	Skriv en dårlig vittighed om forlovelser helt på svensk, intet andet sprog er tilladt.	Skriv en dårlig vittighed om forlovelser udelukkende på svensk, intet andet sprog er tilladt.	word choice	helt på --> udelukkende		MT	gemini-1.5-flash
219	Synes du, at Lise Nørgaard er en god skuespiller? Indslut dit svar i dobbelte anførselstegn.	Synes du at Lise Nørgaard er en god skuespiller? Omslut dit svar med dobbelte anførselstegn.	comma, word choice	Indslut --> Omslut		MT	gemini-1.5-flash
1629	Gør sætningen “Bussen ankom til stationen” mere interessant. Undgå at bruge ordet “station”.	Gør sætningen “Bussen ankom til stationen” mere spændende. Undgå at bruge ordet “station”.	word choice	interessant --> spændende		MT	gemini-1.5-flash
2467	Skriv en rap om et afgrund i præcis 4 afsnit. Adskill afsnittene med markdown-opdeleren: ***.	Skriv en rap om en afgrund på præcis 4 afsnit. Adskil afsnittene med markdown-opdeleren: ***.	particles	i --> på		MT	gemini-1.5-flash
3223	Liste alle fakta om Michael Laudrup i et struktureret output. Formatér dit samlede output i JSON.	Lav en liste med alle fakta om Michael Laudrup i et struktureret output. Formatér dit samlede output i JSON.	word choice, other	liste --> lav en liste	phrasing	MT	gemini-1.5-flash
